intercept,predictor1_slope,predictor2_slope,error_sd
0.06742717849317266,-0.05162265551792328,0.03367728452031664,0.3487272183680643
0.06511033916719158,0.017611576413912672,-0.0262638960682191,0.19347254523605054
0.09335997919510697,-0.033555015075517815,0.0560654936178866,0.3997019951074733
0.07359950869275234,-0.04551999299484476,0.031034658572669294,0.48083841530474847
0.016367676995476445,-0.03593228961419176,0.01735626463502825,0.24368345555783125
0.013261329080123464,0.025201498906535807,-0.046522709009496524,0.20757771072394493
0.02583709276118945,0.017481191336054136,-0.03491520416056538,0.38290207279704536
0.047697933681980526,0.028839830139303108,-0.05137811237799296,0.46818439765823827
0.012589326419439863,-0.05759049243607892,0.026547832417225303,0.4748393951680264
0.09401546848707061,0.05925696244649398,-0.04001236941889387,0.2092332044299572
0.0266620253497191,0.028438829189313425,-0.018659168288886287,0.4558782499928812
0.0554305409785843,-0.007152544431000857,0.006839324305366212,0.2082856918500149
0.005786573485537472,-0.05086788641069123,0.012227728838655569,0.48720550483648095
0.06960981120986527,0.04376336526696599,-0.03583758931428326,0.29849925425784873
0.02733937871474843,0.053765692289567305,-0.029827260851594754,0.2987893406497842
0.05286791018477471,0.0343457319323231,-0.03285600820679128,0.16893372381928634
0.08591755008502268,0.054334665686743555,-0.062420291593447724,0.41741930383464243
0.08134762920587142,-0.0430252045243675,0.06979394425784105,0.12467243552494822
0.03652114952224946,0.033576942860682024,-0.05480890513792391,0.12457418415604082
0.012099301479068203,0.016337110696413068,-0.030609522750278548,0.3072654191515798
